code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
1994;MASTER;5;13;14;;Bayeux;Mission locale de Bayeux
1995;MASTER;4;11;92;;Boulogne-Billancourt;Medtronic
1996;MASTER;4;6;92;;Paris;DIPC TECHNOLOGY
2000;MASTER;4;4;75;;Paris;
2001;MASTER;4;4;76;;Sotteville les roun;VTNI
2002;MASTER;4;11;91;;Gentilly;Sanofi
2003;MASTER;2;7;94;;alfortville;Greta
2004;MASTER;2;9;61;;Moulins-la-Marche;Education nationale
2005;MASTER;5;13;14;;caen;cchambre regional de'économie social et solidaire de Normandie
2007;MASTER;4;13;92;;La défense;Engie cofely
2009;MASTER;5;11;75;;Paris;
2011;MASTER;5;13;75;;Paris;France terre d'asile
2013;MASTER;4;2;31;;Toulouse;Evotec
2015;MASTER;4;12;75;;Paris;Big band story
2016;MASTER;5;1;63;;LEMPDES;FREDON AUVERGNE
2021;MASTER;4;7;14;;Balleroy;Zoetis
2022;MASTER;5;11;91;;France 91;
2023;MASTER;4;12;75;;Paris;DPU
2024;MASTER;2;10;14;;CAEN;DDCS
2032;MASTER;2;11;94;;SAINT MANDE;HIA BEGIN
2036;MASTER;5;13;49;;Angers;Maison de l'Europe Angers & Maine-et-Loire
2040;MASTER;4;13;75;;paris;heetch
2041;MASTER;4;;92;;Courbevoie La Défense ;CGI France
2042;MASTER;4;4;69;;LYON;Konimpex
2043;MASTER;5;13;97;;Fort-de-France;Ligue de Martinique d'Athlétisme
2044;MASTER;4;3;94;;chevilly larue;bottes fondation
2045;MASTER;4;13;75;;Paris;Mobidiag
2057;MASTER;2;9;50;;saint-lô;école le bon sauveur 
2058;MASTER;2;1;41;;montoire sur le loir;minstère de l'agriculture
2060;MASTER;4;6;27;;vernon;aviva
2062;MASTER;4;4;76;;Ambrumesnil;Les fermes d'ici
