code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
1176;MASTER;4;6;61;;Argentan;Crédit Agricole
1185;MASTER;2;9;14;;Ifs;Université du Maine
1186;MASTER;5;11;75;;PARIS;Fédération Nationale des Jardins Familiaux et Collectifs
1194;MASTER;4;6;61;;Valencon;In expenso
1195;MASTER;5;11;14;;Caen ;CAO 2choseslune 
1198;MASTER;2;9;14;;Bretteville sur Laize;Ministère de l'Education Nationale
1199;MASTER;4;1;14;;Caen;Agrial coopérative agricole
1200;MASTER;4;13;14;;Touques;Lawn Tennis marketing 
1201;MASTER;2;9;50;;Saint Fromond ;Éducation nationale 
1203;MASTER;4;2;14;;;
1204;MASTER;2;7;60;;Creil;Police nationale
1207;MASTER;2;9;92;;ASNIERES sur Seine ;Éducation Nationale 
1208;MASTER;2;9;50;;Villedieu ;Éducation nationale 
1209;MASTER;4;6;50;;cherbourg;credit agricole
1211;MASTER;4;3;76;;le havre;groupe legendre
1212;MASTER;4;4;50;;AGNEAUX;NOYON TRANSPORT
1214;MASTER;2;10;14;;Colombelles;Mairie
1217;MASTER;2;9;50;;Parigny;Education Nationale
1218;MASTER;4;6;50;;Avranches;ad valoris
1220;MASTER;4;7;92;;Nanterre;SOPRA speira
1223;MASTER;2;10;2;;Saint-Quentin;Agglomération du Saint-Quentinois
1226;MASTER;2;9;61;;;l'éducation nationale
1227;MASTER;4;6;92;;Neuilly-sur-Seine ;SNR AUDiT
1234;MASTER;1;10;14;;Caen;CALéI
1236;MASTER;4;4;14;;Falaise;SAS SODISFAL E LECLERC Falaise
1237;MASTER;5;11;50;;cherbourg;MEF du Cotentin
1238;MASTER;4;13;50;;Cherbourg;Capgemini
1240;MASTER;2;9;22;;ros trenen;l'éducation nationale
1241;MASTER;2;10;53;;Loiron;Communautéde Communes du Pays de Loiron
1243;MASTER;4;5;14;;CAEN;SII
1244;MASTER;2;9;50;;quineville;education nationale
1247;MASTER;5;11;61;;Flers;ADAPEI 61
1248;MASTER;4;6;14;;caen;credit du nord
1249;MASTER;2;10;75;;Paris;Ministère de l'intérieur
1250;MASTER;4;8;14;;caen;unica
1251;MASTER;3;13;61;;Flers;Office Public de l'Habitat
1252;MASTER;4;4;14;;Carpiquet;CSC
1253;MASTER;4;8;14;;Caen ;Groupe fidorg
1254;MASTER;4;4;14;;calvados et orne ;Laboratoire cotral 
1255;MASTER;4;2;50;;st lo;easybike
1257;MASTER;2;9;59;;avesnes les aubert;recotrat de Lille
1258;MASTER;4;2;14;;Caen;
1259;MASTER;5;6;14;;caen;normandie active
1260;MASTER;4;7;50;;CHERBOURG-EN-COTENTIN;SCHILO SAS
1261;MASTER;2;9;14;;Le Bény-Bocage;Education Nationale
1262;MASTER;5;11;14;;herouville st clair;IRTS
1264;MASTER;4;4;61;;b;
1265;MASTER;4;2;14;;Bavent;
1266;MASTER;2;9;50;;Brécey;éducation nationale
1267;MASTER;5;12;14;;Caen;Le Marchepied
1269;MASTER;6;11;92;;Neuilley sur Seine;Hôpital américain
1270;MASTER;4;1;14;;Collombelles;coop de france
1282;MASTER;4;11;14;;balleroy;domidep
1283;MASTER;4;7;14;;Deauville;Jacomo 
1284;MASTER;4;4;14;;Ouistreham ;Bai
1290;MASTER;2;9;69;;Lyon ;Lycée Lacassagne 
1293;MASTER;5;11;50;;Saint Lô;Fondation  Bon Sauveur de la Manche
1294;MASTER;2;11;33;;Bordeaux;CHU BORDEAUX
1295;MASTER;2;9;78;;Mantes-la-Jolie;ministère de l'éducation nationale 
1296;MASTER;5;11;14;;Caen;RBN-SEP
1298;MASTER;2;11;14;;Caen;EPSM de Caen
1299;MASTER;4;13;72;;Le mans;Apef Services Le Mans 
1300;MASTER;4;;75;;Paris;
1303;MASTER;4;9;14;;Caen;
1307;MASTER;4;11;14;;Caen;Baclès
1308;MASTER;4;5;99;140;Genève ;blue-infinity
1317;MASTER;4;1;14;;LIVAROT;graindorge lactalis
1320;MASTER;4;7;61;;Argentan ;
1323;MASTER;4;4;14;;Caen;Supplay
1324;MASTER;4;11;14;;Caen;l'assurance maladie du Calvados
1325;MASTER;4;3;56;;pluleret;Adecco breizh
1331;MASTER;4;11;92;;SURESNES;les laboratoires servier
1332;MASTER;2;1;61;;Le Pin au haras;Institut Français du Cheval et de l'équitation
1337;MASTER;2;8;14;;MONDEVILLE;GRETA
1338;MASTER;2;9;27;;Gaillon;Education Nationale
1341;MASTER;4;2;14;;caen;
1345;MASTER;4;9;61;;Sées  (61);Lycée privé Marie Immaculée à  SEES
1346;MASTER;5;1;14;;Cagny;Syndicat des planteurs betteravier
1347;MASTER;4;4;44;;;HESUOCAR
1348;MASTER;4;7;92;;Rueil malmaison;Seres technologies
1349;MASTER;2;9;60;;beauvais;l'éducation nationale
1350;MASTER;4;3;92;;Malakoff;Axione
1352;MASTER;4;13;53;;Changé ;Maisons Et Services 
1353;MASTER;4;12;14;;Caen;Mias medi
1355;MASTER;4;5;14;;caen;ZEPHYR-WEB
1356;MASTER;5;11;50;;Cherbourg;Fondation du Bon Sauveur de la Manche
1357;MASTER;4;7;75;;PARIS;UiPath SRL
1358;MASTER;4;4;14;;fleury sur orne;terres et eaux
1360;MASTER;2;9;50;;Leteil et Gonneville;education nationale
1362;MASTER;4;6;76;;Rouen;Matmut
1365;MASTER;4;13;14;;Collombelle;Chacun cherche son film
1366;MASTER;4;13;53;;Saint berthevin;Oika beauty (Noz / futura finance)
1369;MASTER;3;8;14;;CAEN;La Poste
1376;MASTER;4;11;94;;Ivry-sur-Seine;PPD
1377;MASTER;2;9;14;;Caen;Université de Caen
1380;MASTER;5;11;63;;Clermont ferrand;centre de rééducation pour déficients visuels ( CRDV)
1384;MASTER;5;12;14;;Caen;Frac Normandie Caen
1385;MASTER;4;13;50;;Saint lo;Groupe Up
1392;MASTER;5;11;44;;belligne;asso 1901
1397;MASTER;2;9;93;;Clichy sous bois ;
1401;MASTER;4;7;35;;Rennes;Open 
1403;MASTER;4;4;59;;Villepinte;LG Electronics
1407;MASTER;4;6;99;132;Londres;UBS
1408;MASTER;4;1;29;;Plougasnou;GLOBAL SEAFOOD France
1409;MASTER;4;6;75;;Paris;
1411;MASTER;5;13;87;;Limoges;Aquarium du limousin 
1412;MASTER;5;8;73;;Chambéry;
1413;MASTER;5;11;38;;Isere;
1414;MASTER;4;7;74;;Annecy;E2therm
1415;MASTER;4;4;99;236;Taipei;Mindtronicai
1416;MASTER;4;6;14;;Caen;Foncia
1417;MASTER;2;5;61;;Flers, Argentan, L'aigle;GRETA Sud Normandie
1425;MASTER;2;9;62;;saint-etienne-au-mont;éducation nationale
1426;MASTER;4;4;74;;Seynod;Décathlon
1427;MASTER;4;5;99;401;Montréal;Witbe
1428;MASTER;4;2;59;;tourcoing;verquin confiseur
1430;MASTER;2;10;59;;Valenciennes;Mairie de Valenciennes 
1433;MASTER;4;7;44;;la chapelle sur erdre;ONE POINT
1434;MASTER;4;4;59;;Lille;Tape à l'oeil
1440;MASTER;4;6;50;;Cherbourg;BNP Paribas
1442;MASTER;2;11;14;;caen;CHU 
1443;MASTER;5;11;36;;roussines;Marpa de roussines
1444;MASTER;2;11;14;;Colombelles;ccf d'Yvetot
1445;MASTER;6;1;62;;dury;Exploitation individuelle Jean françois le prince
1448;MASTER;2;11;41;; Blois;CH BLOIS
1449;MASTER;4;11;61;;FLERS;clinique St Dominique
1450;MASTER;4;2;44;;Saint-Nazaire;
1452;MASTER;1;;61;;Alençon ;Crescendo 
1454;MASTER;2;9;51;;Suippes;Education nationale - Collège Louis Pasteur
1456;MASTER;5;11;51;;Reims;URI CFDT GRAND EST
1460;MASTER;4;7;50;;Cherbourg;Asymptote
1464;MASTER;2;9;14;;isigny sur mer;l'éducation nationale
1471;MASTER;1;12;99;109;Berlin;Trois Petits Points
1474;MASTER;2;;99;312;Kinshasa;Coopération Technique Belge
1477;MASTER;5;11;61;;Alençon;ANAIS
1480;MASTER;1;4;6;;Nice;Agent commercial 
1482;MASTER;6;13;14;;CAEN;Cabinet d'avocat HORS-MARGERIE
1488;MASTER;4;7;78;;Versailles;
1492;MASTER;4;5;75;;FRANCE;S&H Group
1493;MASTER;2;11;47;;AGEN;CENTRE HOSPITALIER AGEN NERAC
1495;MASTER;2;9;16;;ANGOULEME;LP CHARLES COULOMB - EDUCATION NATUIONNALE
1496;MASTER;7;5;14;;saint denis de méré;Adicinfo
1498;MASTER;5;11;14;;herouville st clair;ahajt
1500;MASTER;5;13;75;;Paris;FCPE
1501;MASTER;4;;99;350;Casablanca;TWW
1508;MASTER;1;11;14;;Epron;Profession libérale
1510;MASTER;4;5;14;;Bayeux;SAR édition heimnal
1512;MASTER;4;11;73;;Albertville;Domitys
1514;MASTER;5;11;95;;Ennery;IME du Bois d'en Haut
1519;MASTER;2;9;14;;Caen;
